分类,命令,作用说明
初始化与配置,`git config --global user.name "名字"`,设置提交代码时的用户名
,`git config --global user.email "邮箱"`,设置提交代码时的邮箱
,`git init`,初始化本地 Git 仓库
,`git clone <远程仓库地址>`,克隆远程仓库到本地
,`git remote add origin <远程地址>`,添加远程仓库地址
,`git remote set-url origin <新远程地址>`,更换当前项目绑定的远程仓库地址
日常开发,`git status`,查看当前文件修改状态（新增/修改/删除）
,`git add .`,添加所有修改文件到暂存区（最常用）
,`git add <文件名>`,添加指定文件到暂存区
,`git commit -m "提交说明"`,将暂存区内容提交到本地仓库（需写清晰说明，如“修复登录bug”）
,`git log --pretty=oneline`,简洁查看提交历史，所有提交浓缩为一行展示，方便快速浏览版本记录
分支管理,`git branch`,查看本地分支列表
,`git branch -a`,查看所有分支（含远程）
,`git checkout -b <新分支名>`,创建并立即切换到新分支（推荐）
,`git checkout <分支名>`,切换到指定分支（或用 `git switch <分支名>`）
,`git merge <分支名>`,将指定分支合并到当前分支
远程同步,`git remote add origin <远程仓库地址>`,关联本地仓库与远程仓库（首次使用需设置）
,`git pull origin <分支名>`,拉取远程分支最新代码到本地（提交前建议先执行）
,`git push origin <分支名>`,将本地分支提交推送到远程仓库
撤销与回退,`git checkout -- <文件名>`,撤销工作区未 `add` 的修改（丢弃本地更改）
,`git reset --hard <版本号>`,强制回退到指定历史版本（会丢失后续提交，版本号可通过上面简洁命令查看）
,`git stash`,临时保存当前工作进度（未完成代码时切换分支用）
,`git stash pop`,恢复最近一次 `stash` 保存的进度
